Marybe SRL,,,,,,
Pellegrini 141,,,CTRL+R  Genera Revisar,,,
200726 1005,,,CTRL+N  Hoja Ofertas,,,
,,,CTRL+P  Copia Pedido,,,
,, ,,,,
Codigo,Descripcion,MARCA,Rubro,Proveedor,Publico,Oferta
8435415049405,LA BELLE LE PARFUM INTENSE EDP X 50 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"245.000,00",
8435415017244,LA BELLE EDP X 100 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"275.000,00",
8435415017237,LA BELLE EDP X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"177.900,00",
8435415017213,LA BELLE EDP X 50 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"228.200,00",
8435415116497,SCANDAL POUR HOMME INTENSE EDP X 100 ml + TUBO X 10 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"280.000,00",
8435415116503,SCANDAL POUR HOMME EDT X 100 ml + TUBO X 10 ml + GEL DUCHA,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"253.900,00",
3349668612611,LADY MILLION EDP  X 30 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"159.000,00",
3349668612604,LADY MILLION EDP X 50 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"205.000,00",
3349668508587,LADY MILLION EDP X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"249.000,00",
8435415012690,LE MALE EDT X 200 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"508.900,00","305.340,00"
3349668630349,MILLION GOLD FOR MEN EDP INTENSE X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"268.000,00",
3349668630332,MILLION GOLD FOR MEN EDP INTENSE X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"228.000,00",
3349668630240,MILLION GOLD WOMAN EDP X 30 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"180.000,00",
3349668630257,MILLION GOLD WOMAN EDP X 50 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"235.000,00",
